glyph_name,ps_name,USV,DesignerOrder,bcp47tags,Feat
acircumflex,acircumflex,00E2,207,,
atilde,atilde,00E3,208,,
adieresis,adieresis,00E4,209,,
aring,aring,00E5,210,,
ae,ae,00E6,211,,
ccedilla,ccedilla,00E7,212,,
egrave,egrave,00E8,213,,
eacute,eacute,00E9,214,,
ecircumflex,ecircumflex,00EA,215,,
edieresis,edieresis,00EB,216,,
igrave,igrave,00EC,217,,
iacute,iacute,00ED,218,,
icircumflex,icircumflex,00EE,219,,
idieresis,idieresis,00EF,220,,
eth,eth,00F0,221,,
ntilde,ntilde,00F1,222,,
ograve,ograve,00F2,223,,
oacute,oacute,00F3,224,,
ocircumflex,ocircumflex,00F4,225,,
otilde,otilde,00F5,226,,
odieresis,odieresis,00F6,227,,
divide,divide,00F7,228,,
oslash,oslash,00F8,229,,
ugrave,ugrave,00F9,230,,
uacute,uacute,00FA,231,,
ucircumflex,ucircumflex,00FB,232,,
udieresis,udieresis,00FC,233,,
yacute,yacute,00FD,234,,
thorn,thorn,00FE,235,,
ydieresis,ydieresis,00FF,236,,
idotless,dotlessi,0131,237,,
OE,OE,0152,238,,
oe,oe,0153,239,,
Scaron,Scaron,0160,240,,
scaron,scaron,0161,241,,
Ydieresis,Ydieresis,0178,242,,
Zcaron,Zcaron,017D,243,,
zcaron,zcaron,017E,244,,
florin,florin,0192,245,,
colontriangularmod,uni02D0,02D0,246,,
grave,grave,0060,247,,
macron,macron,00AF,248,,
dieresis,dieresis,00A8,249,,
acute,acute,00B4,250,,
cedilla,cedilla,00B8,251,,
circumflex,circumflex,02C6,252,,
caron,caron,02C7,253,,
firsttonechinese,uni02C9,02C9,254,,
breve,breve,02D8,255,,
dotaccent,dotaccent,02D9,256,,
ring,ring,02DA,257,,
ogonek,ogonek,02DB,258,,
tilde,tilde,02DC,259,,
hungarumlaut,hungarumlaut,02DD,260,,
graphemejoinercomb,uni034F,034F,266,,# invs
pi,pi,03C0,267,,
hamza-ar,uni0621,0621,268,,
highhamza-ar,uni0674,0674,269,,
alef-ar,uni0627,0627,273,,
alef-ar.high,uni0627.high,,274,,
alef-ar.short,uni0627.short,,275,,
alef-ar.wide,uni0627.wide,,276,,
alef-ar.wideshort,uni0627.wideshort,,277,,
alef-ar.ss08,uni0627.ss08,,278,,
alef-ar.high.ss08,uni0627.high.ss08,,279,,
alef-ar.fina,uni0627.fina,,280,,
alef-ar.fina.short,uni0627.fina.short,,281,,
alef-ar.fina.wide,uni0627.fina.wide,,282,,
alef-ar.fina.wideshort,uni0627.fina.wideshort,,283,,
alef-ar.fina.low,uni0627.fina.low,,284,,
alef-ar.fina.wide.low,uni0627.fina.wide.low,,285,,
alef-ar.fina.wideshort.low,uni0627.fina.wideshort.low,,286,,
alefHamzaabove-ar,uni0623,0623,289,,
alefHamzaabove-ar.fina,uni0623.fina,,290,,
alefHamzabelow-ar,uni0625,0625,297,,
alefHamzabelow-ar.fina,uni0625.fina,,298,,
alefMadda-ar,uni0622,0622,311,,
alefMadda-ar.fina,uni0622.fina,,312,,
alefFathaattached-ar,uni0870,0870,335,,
alefFathaattached-ar.fina,uni0870.fina,,336,,
alefRightmiddlestroke-ar,uni0872,0872,339,,
alefRightmiddlestroke-ar.fina,uni0872.fina,,340,,
alefKasraattached-ar,uni0874,0874,343,,
alefKasraattached-ar.fina,uni0874.fina,,344,,
behDotless-ar,uni066E,066E,377,,
behDotless-ar.fina,uni066E.fina,,378,,
behDotless-ar.medi,uni066E.medi,,379,,
behDotless-ar.init,uni066E.init,,380,,
behDotless-ar.medi.flat,uni066E.medi.flat,,381,,
beh-ar,uni0628,0628,382,,
beh-ar.fina,uni0628.fina,,383,,
beh-ar.medi,uni0628.medi,,384,,
beh-ar.init,uni0628.init,,385,,
beh-ar.medi.flat,uni0628.medi.flat,,386,,
beh-ar.init.alt,uni0628.init.alt,,387,,
peh-ar,uni067E,067E,388,,
peh-ar.fina,uni067E.fina,,389,,
peh-ar.medi,uni067E.medi,,390,,
peh-ar.init,uni067E.init,,391,,
peh-ar.medi.flat,uni067E.medi.flat,,392,,
beeh-ar,uni067B,067B,397,,
beeh-ar.fina,uni067B.fina,,398,,
beeh-ar.medi,uni067B.medi,,399,,
beeh-ar.init,uni067B.init,,400,,
beeh-ar.medi.flat,uni067B.medi.flat,,406,,
